Time_ms,Voltage_mV
0.0,-65.0
0.5,-66.5
1.0,-67.80499999999999
1.5,-68.86563949999999
2.0,-69.67592217512079
2.5,-70.26293225435298
3.0,-70.66996237635936
3.5,-70.94215328054514
4.0,-71.11841932064465
4.5,-71.22883256517532
5.0,-71.29511050033466
5.5,-71.33227930474243
6.0,-71.35045673678549
6.5,-71.35633974900536
7.0,-71.3543139714743
7.5,-71.34723271810694
8.0,-71.33694517086276
8.5,-71.32464709732936
9.0,-71.3111108105785
9.5,-71.29683481384156
10.0,-71.28214075100368
10.5,-71.26723606486347
11.0,-71.2522544446675
11.5,-71.23728192602204
12.0,-71.22237373473372
12.5,-71.20756516206967
13.0,-71.19287859101753
13.5,-71.17832803937387
14.0,-71.16392209979978
14.5,-71.14966584422191
15.0,-71.13556205856375
15.5,-71.12161204406249
16.0,-71.10781613781384
16.5,-71.09417405125427
17.0,-71.08068509047314
17.5,-71.06734829975159
18.0,-71.05416255517463
18.5,-71.04112662574391
19.0,-71.02823921331547
19.5,-71.01549897872738
20.0,-71.00290455891243
20.5,-70.99045457812022
21.0,-70.97814765528645
21.5,-70.96598240887995
22.0,-70.95395746009675
22.5,-70.94207143496978
23.0,-70.93032296576641
23.5,-70.91871069191758
24.0,-70.90723326063845
24.5,-70.89588932734583
25.0,-70.8846775559406
25.5,-70.87359661900162
26.0,-70.86264519791942
26.5,-70.85182198299091
27.0,-70.84112567348683
27.5,-70.83055497770104
28.0,-70.82010861298747
28.5,-70.80978530578788
29.0,-70.79958379165333
29.5,-70.78950281526093
30.0,-70.77954113042696
30.5,-70.769697500117
31.0,-70.75997069645342
31.5,-70.75035950072112
32.0,-70.74086270337104
32.5,-70.73147910402203
33.0,-70.72220751146119
33.5,-70.71304674364241
34.0,-70.70399562768353
34.5,-70.69505299986203
35.0,-70.68621770560932
35.5,-70.6774885995035
36.0,-70.66886454526082
36.5,-70.66034441572587
37.0,-70.65192709286028
37.5,-70.64361146773012
38.0,-70.63539644049223
38.5,-70.62728092037895
39.0,-70.61926382568188
39.5,-70.61134408373422
40.0,-70.6035206308921
40.5,-70.59579241251443
41.0,-70.58815838294194
41.5,-70.58061750547482
42.0,-70.57316875234926
42.5,-70.56581110471308
43.0,-70.55854355260003
43.5,-70.55136509490326
44.0,-70.54427473934751
44.5,-70.5372715024606
45.0,-70.53035440954356
45.5,-70.52352249464016
46.0,-70.51677480050525
46.5,-70.51011037857226
47.0,-70.5035282889198
47.5,-70.49702760023736
48.0,-70.49060738979013
48.5,-70.48426674338312
49.0,-70.47800475532433
49.5,-70.47182052838718
50.0,-70.46571317377214
50.5,-70.45968181106767
51.0,-70.4537255682104
51.5,-70.44784358144473
52.0,-70.44203499528145
52.5,-70.43629896245608
53.0,-70.43063464388628
53.5,-70.42504120862885
54.0,-70.41951783383605
54.5,-70.41406370471121
55.0,-70.4086780144641
55.5,-70.40335996426549
56.0,-70.39810876320139
56.5,-70.39292362822663
57.0,-70.38780378411813
57.5,-70.3827484634277
58.0,-70.37775690643421
58.5,-70.37282836109571
59.0,-70.36796208300075
59.5,-70.36315733531971
60.0,-70.3584133887555
60.5,-70.35372952149399
61.0,-70.34910501915432
61.5,-70.34453917473869
62.0,-70.34003128858176
62.5,-70.33558066830027
63.0,-70.33118662874182
63.5,-70.32684849193389
64.0,-70.3225655870324
64.5,-70.31833725027013
65.0,-70.314162824905
65.5,-70.31004166116814
66.0,-70.30597311621185
66.5,-70.30195655405728
67.0,-70.29799134554234
67.5,-70.29407686826912
68.0,-70.29021250655137
68.5,-70.28639765136198
69.0,-70.28263170028038
69.5,-70.27891405743972
70.0,-70.27524413347425
70.5,-70.27162134546654
71.0,-70.26804511689471
